,,,,,,Daily Price Report-01-01-2026 to 26-01-2026 for Andhra Pradesh,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Andhra Pradesh,Kurnool,Adoni APMC,Fibre Crops,Cotton,Bramha,FAQ,"4,541.00","8,529.00","7,979.00",Rs./Quintal,22-01-2026
Andhra Pradesh,Kurnool,Adoni APMC,Fibre Crops,Cotton,Bramha,FAQ,"5,106.00","8,629.00","8,059.00",Rs./Quintal,21-01-2026
Andhra Pradesh,Kurnool,Adoni APMC,Fibre Crops,Cotton,Bramha,FAQ,"4,911.00","8,789.00","8,119.00",Rs./Quintal,20-01-2026
Andhra Pradesh,Kurnool,Adoni APMC,Fibre Crops,Cotton,Bramha,FAQ,"4,866.00","8,749.00","8,039.00",Rs./Quintal,19-01-2026
Andhra Pradesh,Kurnool,Adoni APMC,Fibre Crops,Cotton,Bramha,FAQ,"4,489.00","8,739.00","8,069.00",Rs./Quintal,17-01-2026
Andhra Pradesh,Kurnool,Adoni APMC,Fibre Crops,Cotton,Bramha,FAQ,"4,209.00","8,778.00","7,869.00",Rs./Quintal,13-01-2026
Andhra Pradesh,Kurnool,Adoni APMC,Fibre Crops,Cotton,Bramha,FAQ,"4,626.00","8,581.00","7,811.00",Rs./Quintal,12-01-2026
Andhra Pradesh,Kurnool,Adoni APMC,Fibre Crops,Cotton,Bramha,FAQ,"5,000.00","8,338.00","7,789.00",Rs./Quintal,10-01-2026
Andhra Pradesh,Kurnool,Adoni APMC,Fibre Crops,Cotton,Bramha,FAQ,"4,112.00","8,239.00","7,749.00",Rs./Quintal,09-01-2026
Andhra Pradesh,Kurnool,Adoni APMC,Fibre Crops,Cotton,Bramha,FAQ,"4,279.00","8,149.00","7,469.00",Rs./Quintal,08-01-2026
Andhra Pradesh,Kurnool,Adoni APMC,Fibre Crops,Cotton,Bramha,FAQ,"4,908.00","8,109.00","7,899.00",Rs./Quintal,07-01-2026
Andhra Pradesh,Kurnool,Adoni APMC,Fibre Crops,Cotton,Bramha,FAQ,"4,100.00","8,060.00","7,800.00",Rs./Quintal,06-01-2026
Andhra Pradesh,Kurnool,Adoni APMC,Fibre Crops,Cotton,Bramha,FAQ,"4,039.00","8,058.00","7,776.00",Rs./Quintal,05-01-2026
Andhra Pradesh,Kurnool,Adoni APMC,Fibre Crops,Cotton,Bramha,FAQ,"5,000.00","8,022.00","7,479.00",Rs./Quintal,03-01-2026
Andhra Pradesh,Kurnool,Adoni APMC,Fibre Crops,Cotton,Bramha,FAQ,"4,169.00","8,012.00","7,416.00",Rs./Quintal,02-01-2026

